Phản hồi,Lecturer_Sentiment,Training_Sentiment,Facility_Sentiment,Others_Sentiment
môn học rất khó hiểu .,,Tiêu cực 😠,,
giáo viên giảng khó hiểu .,Tiêu cực 😠,,,
giảng dạy vui vẻ nhiệt tình gần gũi với sinh viên .,Tích cực 😄,,,
một số máy còn không được cài đặt phần mềm thực hành .,,,,
thầy cực kỳ nhiệt tình !,Tích cực 😄,,,
bài tập mang tính ứng dụng thực tế .,,Tích cực 😄,,
đây là góp ý nhỏ của em để cô đỡ mệt thêm thôi ạ !,Tiêu cực 😠,,,
"còn ít tạo cơ hội cho sinh viên rèn luyện các kỹ năng quan trọng như nghe , nói nhiều .",Tiêu cực 😠,,,
có hài lòng .,,,,Tích cực 😄
thời gian quá ngắn .,,Tiêu cực 😠,,
thầy nhiệt tình giảng dạy dù có lúc không ai thèm nghe thầy nói .,Tích cực 😄,,,
thầy chỉ đến hỗ trợ khi sinh viên cần giúp .,Tiêu cực 😠,,,
thực hành .,,,,
thầy liên hệ thực tiễn rất tốt .,Tích cực 😄,,,
có .,,,,
môn mạng máy tính nên tăng cường thêm thời gian thực hành thay vì dạy nội dung môn học dạy quá nhiều lý thuyết dẫn đến gây khó hiểu cho sinh viên .,,Tiêu cực 😠,,
"thầy hướng dẫn tận tâm , nhiệt tình !",Tích cực 😄,,,
"khả năng truyền đạt tốt , thân thiện với sinh viên .",Tích cực 😄,,,
nên sắp xếp lịch thực hành phù hợp với tiến độ giảng dạy lý thuyết .,,Tiêu cực 😠,,
mong khoa đổi giảng viên cho môn này vào năm học sau .,Tiêu cực 😠,,,
"thầy rất nhiệt tình giảng dạy , cho dù ít sinh viên .",Tích cực 😄,,,
trang thiết bị nên được trang bị thường xuyên .,,,Tiêu cực 😠,
thầy lên lớp rất đúng giờ .,Tích cực 😄,,,
thường xuyên đi trễ và áp đặt sinh viên .,Tiêu cực 😠,,,
khó gần .,,,,
để thay đổi không khí và vừa nghỉ giải lao .,,Tiêu cực 😠,,
cuối buổi học thầy chia sẻ kinh nghiệm để tụi em có thể học tốt hơn .,Tích cực 😄,,,
"nhiệt tình với sinh viên , luôn đáp ứng và trả lời câu hỏi khi sinh viên thắc mắc .",Tích cực 😄,,,
"thầy chơi đểu em nhé , gọi em 2 lần làm em 1 con dấu nợ đấy !",Tích cực 😄,,,
sinh viên có nhiều môn học nên khó mà chỉ đầu tư quá nhiều cho một môn .,,Tiêu cực 😠,,
đa số các kiến thức của môn sinh viên phải tự học hoặc học hỏi lẫn nhau mà không có hướng dẫn .,,Tiêu cực 😠,,
"chương trình quá nặng , quá nhiều yêu cầu dễ bị quá tải .",,Tiêu cực 😠,,
nên biên soạn tài liệu tiếng việt đi kèm .,,Tiêu cực 😠,,
yêu cầu môn học thì mập mờ và thiếu thực tế .,,Tiêu cực 😠,,
thầy dạy đủ buổi .,Tích cực 😄,,,
"thầy dạy nhiệt tình , có sự tương tác giữa người dạy và học trong suốt quá trình học tập .",Tích cực 😄,,,
"thầy tâm lý , vui tính .",Tích cực 😄,,,
"các mục được đánh "" không ý kiến "" có nghĩa là em đồng ý với điều được hỏi , không ý kiến gì .",,,,
phòng quá nóng và chói làm máy chiếu bị mờ .,,,Tiêu cực 😠,
sử dụng giờ lên lớp chưa hợp lý .,Tiêu cực 😠,,,
thầy dạy hay cho nhiều bài tập .,Tích cực 😄,,,
"tận tình , giảng rõ ràng .",Tích cực 😄,,,
thầy rất tích cực trong quá trình giảng dạy .,Tích cực 😄,,,
khó tiếp cận nội dung vì slide toàn tiếng anh .,,Tiêu cực 😠,,
thầy vui tính nhiệt tình .,Tích cực 😄,,,
chưa giảng chi tiết những bài tập sinh viên không làm được .,Tiêu cực 😠,,,
"giảng viên nhiệt tình , giảng dễ hiểu .",Tích cực 😄,,,
"nội dung thực hành còn sơ sài , giảng viên chưa hướng dẫn , thông báo trước hay giảng giải về nội dung thực hành .",Tiêu cực 😠,Tiêu cực 😠,,
"thầy rất thương sinh viên , sẵn sàng nói lại kiến thức lý thuyết khi sinh viên chưa hiểu .",Tích cực 😄,,,
"nhiệt tình , truyền đạt tốt , hiệu quả .",Tích cực 😄,,,
"có thể ta sẽ tìm thấy được một phương pháp lập trình cho bài toán đó tối ưu hơn , hay hơn .",,,,
em rất thích cách dạy này !,Tích cực 😄,,,
"phòng lab kém , buổi đầu tiên không cài visual , buổi thứ 2 cũng không cài , buổi thứ 3 cũng vậy sinh viên không đi thực hành !",,,Tiêu cực 😠,
rất dễ hiểu .,Tích cực 😄,,,
"thầy dạy có tâm , nhiệt tình , chấm điểm công bằng .",Tích cực 😄,,,
"thầy dạy thêm nhiều kiến thức hay , chia sẻ cho lớp nhiều kinh nghiệm đã từng học và đi làm của thầy , em thấy rất hứng thú .",Tích cực 😄,,,
"không gian học thoải mái , giảng viên tận tâm , không tạo nhiều áp lực cho sinh viên .",Tiêu cực 😠,,,
cần nhắc nhở giáo viên này và khiển trách nhiều .,Tiêu cực 😠,,,
"giảng viên nhiệt tình , giảng dạy rõ ràng .",Tích cực 😄,,,
"giáo viên dạy dễ hiểu , thực hành tốt , kích thích tư duy sinh viên .",Tích cực 😄,,,
"giảng viên dạy quá nhanh , ít sửa bài tập .",Tiêu cực 😠,,,
chấm bài tập hoặc đồ án hơi gắt .,Tiêu cực 😠,Tiêu cực 😠,,
"cách dạy thuyết phục sinh viên , phù hợp với sinh viên .",Tích cực 😄,,,
"quy định rõ sinh viên phải học và làm gì ngay từ đầu học kỳ , tránh đầu học kỳ yêu cầu một kiểu , giữa kỳ lại đổi làm sinh viên khó theo kịp yêu cầu môn học .",,,,
thầy có phong cách giảng bài gần gũi với sinh viên .,Tích cực 😄,,,
giảng viên cho quá nhiều bài tập .,Tiêu cực 😠,,,
"dạy nhanh , giải bài tập nhanh , làm em không theo kịp .",Tiêu cực 😠,,,
giáo viên nhiệt huyết .,Tích cực 😄,,,
"nhiệt tình , tận tâm , vui tính .",Tích cực 😄,,,
"cần đưa ra các ứng dụng thực tiễn của môn học , giúp cho sinh viên có thể định hình được họ có thể làm được những gì khi kết thúc môn học , đồng thời có thể áp dụng kiến thức môn học để đáp ứng yêu cầu của thị trường lao động .",,Tiêu cực 😠,,
phòng học quá bé và thời lượng học quá ít .,,,Tiêu cực 😠,
"giảng viên dễ thương , truyền đạt kiến thức tốt , dễ hiểu .",Tích cực 😄,,,
cô chấm kỹ quá .,Tích cực 😄,,,
dạy quá số giờ quy định .,Tiêu cực 😠,,,
cô dạy rất tận tâm và dễ hiểu .,Tích cực 😄,,,
chưa tận tụy .,Tiêu cực 😠,,,
thu hút em học .,Tích cực 😄,,,
"nên cho nhiều ví dụ và bài tập về nhà , cung cấp tài liệu thêm cho các sinh viên muốn tìm hiểu thêm .",Tiêu cực 😠,Tiêu cực 😠,,
thời gian trên lớp không hiệu quả .,,,,
"giáo viên không có khả năng đứng lớp , bài giảng dở tệ .",Tiêu cực 😠,,,
nên có nhiều buổi kiểm tra trên lớp .,,Tiêu cực 😠,,
nên giảm số sinh viên trong 1 lớp .,,Tiêu cực 😠,,
thầy luôn tích cực trả lời thắc mắc của sinh viên trên moodle .,Tích cực 😄,,,
thầy có định hướng dạy rất tốt về công nghệ hiện tại .,Tích cực 😄,,,
giáo viên nói hơi nhỏ .,Tiêu cực 😠,,,
thầy cần sửa nhiều bài tập hơn nữa .,Tiêu cực 😠,,,
thực hành không cần phải lên phòng máy nhiều .,,,Tiêu cực 😠,
mong thầy yêu thương tất cả học trò của mình !,Tiêu cực 😠,,,
"nhiệt tình , luôn quan tâm các sinh viên trong mỗi buổi dạy .",Tích cực 😄,,,
"truyền đạt kiến thức còn quá lan man , thiếu ví dụ về hệ thống thực tế bên ngoài , truyền cảm hứng chưa tốt , chưa tạo được niềm vui cho sinh viên đến lớp .",Tiêu cực 😠,,,
"giảng dạy tận tình , không khí học tập thoải mái , vui vẻ .",Tích cực 😄,,,
"thầy chỉ đọc trên slide , ít có giảng nội dung ngoài .",Tiêu cực 😠,,,
nên có nhiều bài tập vận dụng thực tế vào thực hành .,,Tiêu cực 😠,,
sau đó mở vào giờ khuya lúc sinh viên đi ngủ .,Tiêu cực 😠,,,
bài tập chất lượng .,,Tích cực 😄,,
"tuy có một số phần khó nhưng thầy giảng và làm ví dụ rất dễ hiểu , có một tiết thầy giảng bằng tiếng anh rất hay .",Tiêu cực 😠,,,
"bài giảng được cung cấp đầy đủ , hữu ích .",,Tích cực 😄,,
"trẻ , có nhiều cái mới , hay .",Tích cực 😄,,,
mong cô tiếp tục dạy như vậy nữa .,Tiêu cực 😠,,,
giảng viên nên cho bài tập thường xuyên tuần nào cũng phải trả bài .,Tiêu cực 😠,,,
cô dạy hay nhiệt tình và dễ hiểu .,Tích cực 😄,,,
"giảng kỹ , giảng nhiều phần nâng cao .",Tích cực 😄,,,
giảng viên hướng dẫn sinh động .,Tích cực 😄,,,
nên để ngày học thực hành chung ngày với lý thuyết .,,Tiêu cực 😠,,
thầy rất nhiệt tình và tận tâm với sinh viên !,Tích cực 😄,,,
thời khóa biểu thực hành cần sắp xếp hợp lý so với giờ học lý thuyết .,,Tiêu cực 😠,,
cô dạy rất nhiệt tình và quan tâm đến sinh viên .,Tích cực 😄,,,
giảng viên giảng tận tình .,Tích cực 😄,,,
giáo viên không đến lớp bữa nào nên em không biết nhận xét .,Tiêu cực 😠,,,
vô cùng tuyệt vời .,Tích cực 😄,,,
"thầy dạy hơi nhanh , một vài chỗ lướt hơi nhanh .",Tiêu cực 😠,,,
thầy dạy nhiệt tình dễ hiểu .,Tích cực 😄,,,
giáo viên tận tình mặc dù nhiều sinh viên còn lơ là .,Tích cực 😄,,,
môn học khá nhẹ nhàng cho sinh viên .,,Tích cực 😄,,
máy tính trong phòng thực hành không được tốt cho lắm .,,,Tiêu cực 😠,
"phòng máy nên đầu tư đồng bộ một chút , tránh hiện tượng các máy là khác nhau .",,,Tiêu cực 😠,
thầy dạy đủ để thi .,Tích cực 😄,,,
mong phòng đào tạo xem xét để khóa sau học được chất lượng ạ .,,Tiêu cực 😠,,
lớp trưởng trách nhiệm kém .,,,,
"cô dạy rất hay , vui tính và dễ hiểu .",Tích cực 😄,,,
em rất hài lòng về cách dạy của thầy trong môi trường đại học .,Tích cực 😄,,,
"thầy tận tâm , nhiệt tình với học sinh .",Tích cực 😄,,,
thầy hướng dẫn thực hành rất không tốt .,Tích cực 😄,,,
"phương pháp giảng dạy phù hợp , giải quyết thắc mắc nhanh chóng .",Tích cực 😄,,,
cần cải thiện tốc độ mạng .,,,,
thầy hơi khó chịu .,Tiêu cực 😠,,,
chưa tổng quát .,Tiêu cực 😠,,,
"chỉ được thực hành hai buổi thi vì vậy không vận dụng tốt kiến thức đã học , không đảm bảo số buổi như lúc bắt đầu đã thỏa thuận .",,Tiêu cực 😠,,
khuôn khổ bài học chưa truyền được cảm hứng cho sinh viên .,Tiêu cực 😠,Tiêu cực 😠,,
đề nghị giảng viên chuẩn bị tốt bài giảng .,Tiêu cực 😠,,,
cô rất nhiệt tình và tận tâm với sinh viên !,Tích cực 😄,,,
"giáo viên nhiệt tình , có trách nhiệm , truyền đạt dễ giểu .",Tích cực 😄,,,
được tiếp xúc môi trường thực tế ở các công ty .,,Tích cực 😄,Tiêu cực 😠,
thầy rất vui tính và dễ gần .,Tích cực 😄,,,
giảng kỹ và chi tiết .,Tích cực 😄,,,
giáo viên hướng dẫn tận tâm .,Tích cực 😄,,,
"em thấy giáo viên dạy dễ hiểu , tận tình .",Tích cực 😄,,,
giọng nói dễ nghe .,Tích cực 😄,,,
một số vấn đề còn khó hiểu .,,,,
giảng viên vui tính nhiệt tình .,Tích cực 😄,,,
"thầy giảng hơi khó hiểu , giọng đều đều buồn ngủ .",Tiêu cực 😠,,,
cần định hướng tạo điều kiện cho sinh viên giao lưu các doanh nghiệp để biết được yêu cầu của họ về một người kỹ sư .,Tiêu cực 😠,,,
"giàu kinh nghiệm , dễ hiểu , dẫn chứng cụ thể .",Tích cực 😄,,,
em nhớ nhất câu phải có sự đấu tranh mới phát triển .,,,,
"không kiểm soát được lớp , không tận tâm chuẩn bị trước khi lên lớp .",Tiêu cực 😠,,,
giáo viên đúng giờ .,Tích cực 😄,,,
cô dạy nhiệt tình nhưng hơi nhanh .,Tiêu cực 😠,,,
em nghĩ thầy nên cho nhiều bài tập về nhà hơn .,Tiêu cực 😠,,,
"bám không sát đề thi , lan man .",,Tiêu cực 😠,,
không có đề cương trên khoá học .,,Tiêu cực 😠,,
giảng viên nên thông báo hình thức ra đề đề mở hay đề đóng để sinh viên biết và chuẩn bị tài liệu để bài kiểm tra có kết quả tốt hơn .,Tiêu cực 😠,,,
đặc biệt là tránh để thời gian chết .,,,,
giảng viên hơi khó tính .,Tiêu cực 😠,,,
"thầy dạy tận tâm , nhiệt tình , truyển đạt dễ hiểu .",Tích cực 😄,,,
"thầy dạy rất kỹ và chi tiết , rất quan tâm đến học sinh .",Tích cực 😄,,,
ít cho học sinh luyện kỹ năng nghe nói .,Tiêu cực 😠,,,
giảng viên nên giảng chậm lại và phân tích trọng tâm từng đề mục của bài học .,Tiêu cực 😠,,,
funny .,,,,
quá nhiều lý thuyết khiến sinh viên không tiếp thu kịp vào không biết cách vận dụng .,,Tiêu cực 😠,,
mong thầy đổi phương pháp dạy và cách phản biện với sinh viên .,Tiêu cực 😠,,,
em nghĩ là nhà trường không nên tổ chức học thực hành .,,Tiêu cực 😠,,
sự cố này kéo dài hơn một tháng mới chấm dứt .,,Tiêu cực 😠,,
"cô giáo rất tích cực trong giảng dạy , truyền đạt kiến thức tới sinh viên rất hay .",Tích cực 😄,,,
cần thực hành thêm nhiều bài tập .,,Tiêu cực 😠,,
giúp cho sinh viên tập trung vào thiết kế mạng phù hợp với mục đích môn học .,,,,
giảng viên giải đáp các thắc mắc tại lớp tận tình .,Tích cực 😄,,,
thay vì cho làm kiểm tra wecode thì cho làm trên lớp thuận tiện hơn .,,Tiêu cực 😠,,
"nói to , rõ .",Tích cực 😄,,,
thiếu sự giảng dạy và khả năng truyền đạt không hiệu quả .,Tiêu cực 😠,,,
"hướng dẫn làm đồ án còn chưa rõ ràng , chưa hướng dẫn cho sinh viên một cách cụ thể về các kỹ năng đứng trước đám đông .",Tiêu cực 😠,,,
"các bài giảng khó tiếp thu , hiểu được .",,Tiêu cực 😠,,
thầy dạy vui tính .,Tích cực 😄,,,
thầy dạy được .,Tích cực 😄,,,
nhà trường nên giúp đỡ thầy trong việc giảng dạy vì môn này không đúng chuyên môn của thầy .,,,,
cung cấp nhiều kiến thức mở rộng hữu ích .,Tích cực 😄,,,
"giảng viên rất nhiệt tình , tạo mọi điều kiện cho sinh viên hoàn thành tốt môn học .",Tích cực 😄,,,
thầy rất nhiệt tình trong việc giảng dạy và hướng dẫn sinh viên .,Tích cực 😄,,,
cách truyền đạt của cô khá khó hiểu .,Tiêu cực 😠,,,
"nhiệt tình , giảng dạy chi tiết cụ thể .",Tích cực 😄,,,
"thầy biết sâu rộng và có nhiều chủ đề giảng mang tính thực tiễn , thực tế bên cạnh việc giảng dạy môn giải tích .",Tích cực 😄,,,
"giảng viên không hướng dẫn thực hành , vào phòng thực hành làm các bài lab và nộp , không có sự hướng dẫn , sinh viên nào chưa hiểu giảng viên yêu cầu đến lớp lý thuyết để hỏi vào phòng thực hành , giảng viên ngồi trên máy tính , sinh viên bên dưới làm gì tùy thích , đến hạn nộp lab xem như hoàn thành !",Tiêu cực 😠,,,
thầy dạy dễ hiểu và dễ tiếp thu .,Tích cực 😄,,,
em mong muốn thầy phân bổ thời gian dạy hợp lý hơn .,Tiêu cực 😠,,,
nên thu nhỏ lớp học lại .,Tiêu cực 😠,,,
thường xuyên cho bài tập về nhà .,Tích cực 😄,,,
"giáo viên nên liên hệ với giáo viên lý thuyết , để có nội dung thực hành sát với nội dung giảng dạy trên lớp .",Tiêu cực 😠,,,
thầy dạy nhiệt tình bài tập và slide hay .,Tích cực 😄,,,
thực tiễn .,,,,
"thầy giáo nhiệt tình , tận tâm .",Tích cực 😄,,,
mong phòng đào tạo không sắp cho thầy dạy lớp em nữa .,,Tiêu cực 😠,,
"giảng viên nhiệt tình giảng dạy , giúp đỡ sinh viên rất nhiều .",Tích cực 😄,,,
"tận tâm , kỹ lưỡng .",Tích cực 😄,,,
"lên báo cáo thì "" đuổi về "" , thái độ với sinh viên quá là tệ .",Tiêu cực 😠,,,
mong thầy cô xem lại mức độ ra bài tập hoặc đưa ra hướng dẫn cụ thể hơn dành cho sinh viên .,Tiêu cực 😠,,,
nên điều chỉnh môn này thời gian nhiều hơn .,,Tiêu cực 😠,,
nội dung dạy không hấp dẫn !,,,,
rất hay và quá hay .,Tích cực 😄,,,
thầy nên giảng chậm lại để học sinh dễ hiểu hơn và cho nhiều bài tập để học sinh có thể áp dụng được .,Tiêu cực 😠,,,
học patin vui .,,,,
"cách trình bày , diễn đạt kiến thức chưa được tốt .",Tiêu cực 😠,,,
cải thiện tốc dộ mạng .,,,,
"giảng viên dạy dễ tiếp thu , nhiệt tình .",Tích cực 😄,,,
"thầy giảng bài rất tận tâm , dễ hiểu , nhưng tiết dạy kéo dài rất ngắn .",Tích cực 😄,,,
"giảng dạy dễ hiểu , cuốn hút sinh viên !",Tích cực 😄,,,
"giảng viên dạy nhiệt tình , chu đáo , tận tâm , tạo mọi điều kiện cho sinh viên phát triển kỹ năng suy luận .",Tích cực 😄,,,
giảng nhanh .,Tiêu cực 😠,,,
"hiểu được sơ lược về một hệ điều hành , biết được một số thuật toán cần thiết của môn học .",,Tiêu cực 😠,,
cho làm bài tập nhiều hơn nữa .,Tiêu cực 😠,,,
cô giáo dạy hay .,Tích cực 😄,,,
cách dạy khoa học .,Tích cực 😄,,,
dạy vui vẻ va nhiệt tình .,Tích cực 😄,,,
"giảng viên nhiệt tình , tận tình giải thích khi sinh viên thắc mắc .",Tích cực 😄,,,
chưa đảm bảo thời gian lên lớp .,Tiêu cực 😠,,,
cần tài liệu chính thức cho phần lý thuyết hơn nữa .,,Tiêu cực 😠,,
"cô dạy kiến thức còn sư phạm , khó áp dụng thực tế .",Tiêu cực 😠,,,
cần trang bị thêm các rèm che cho các phòng học ở dãy nhà c nhằm tránh tình trạng không thấy rõ máy chiếu .,,,Tiêu cực 😠,
hỗ trợ nhiều bài tập giúp nâng cao trình độ .,Tích cực 😄,,,
"gần gũi , hoà đồng , vui tính .",Tích cực 😄,,,
đây là môn đầu tiên học thầy và cũng nghe mọi người nói thầy dạy và chấm điểm khó .,Tiêu cực 😠,,,
dễ tính .,,,,
"có một nhóm seminar và mỗi tuần có một nhóm thực hiện thuyết trình , bên cạnh đó khoảng 2 - 3 tuần đầu học kỳ là giáo viên nghỉ dạy , thế nên hầu như là tuần nào cũng có seminar và cách giảng dạy của giảng viên là như trên .",Tiêu cực 😠,,,
nên tăng cường các kỹ năng nghe và nói cho sinh viên .,,Tiêu cực 😠,,
"giảng viên tận tâm , nhiệt tình với sinh viên .",Tích cực 😄,,,
"thầy dạy tận tình , khá rõ ràng .",Tích cực 😄,,,
đảm bảo giờ lên lớp .,Tích cực 😄,,,
nhiệt tình tận tâm .,Tích cực 😄,,,
giảng viên dạy được .,Tích cực 😄,,,
em cảm ơn thầy nhiều ạ .,Tích cực 😄,,,
giáo viên thân thiện .,Tích cực 😄,,,
môn học nên có thêm phần ví dụ về áp dụng thực tiễn .,,Tiêu cực 😠,,
"học tập thoải mái , không áp lực .",,,,
"nâng cao trang thiết bị phòng học doubledot máy chiếu , quạt , ổ điện .",,,Tiêu cực 😠,
"thầy giảng dạy nhiệt tình , hiệu quả .",Tích cực 😄,,,
em xin đóng góp là giáo viên dạy thực hành và giáo viên dạy lý thuyết cần có sự trao đổi với nhau để có sự thống nhất trong nội dung bài học cho sinh viên .,Tiêu cực 😠,,,
"hay đi trễ , giảng buồn ngủ .",Tiêu cực 😠,,,
"bài tập thầy cho quá dễ và không có tính bắt buộc nên sinh viên hay "" ngó lơ "" , lần sau thầy cứ trừ điểm quá trình là mấy bạn tự khắc làm liền à colonbigsmile .",Tiêu cực 😠,Tiêu cực 😠,,
"cách giảng bài khó hiểu , vòng vèo , không theo chủ đề .",Tiêu cực 😠,,,
phần speaking rất dễ hiểu .,Tích cực 😄,,,
tiếng anh chuẩn .,,,,
phương pháp giảng dạy hay .,Tích cực 😄,,,
"tận tình với sinh viên , dạy tốt .",Tích cực 😄,,,
"cô dạy rất nhiệt tình , bài giải đầy đủ !",Tích cực 😄,,,
thầy biết lắng nghe ý kiến từ học sinh .,Tích cực 😄,,,
giảng viên cần có tâm hơn .,Tiêu cực 😠,,,
truyền đạt khó hiểu .,Tiêu cực 😠,,,
nhanh .,,,,
thầy dạy thiếu nhiệt tình .,Tiêu cực 😠,,,
không up tài liệu lên courses .,Tiêu cực 😠,,,
"thầy nhiệt tình tận tâm , đề cập thực tế và các phương pháp học dễ hiểu .",Tích cực 😄,,,
ví dụ không thực tiễn .,,,,
"thầy giảng rất dễ hiểu , hay , có tài liệu rõ ràng , đồng thời có kèm theo bài tập để luyện tập .",Tích cực 😄,,,
cái này là bức xúc với cách xếp lịch học chứ không hề có vấn đề gì với giảng viên .,Tiêu cực 😠,,,
môn học rất là hữu ích .,,Tích cực 😄,,
tma qua dạy làm cho thầy thiếu thời gian nhưng hầu như thầy dậy rất kỹ .,Tiêu cực 😠,,,
"giảng dễ hiểu , thu hút , hấp dẫn .",Tích cực 😄,,,
giảng viên giảng nhanh .,Tiêu cực 😠,,,
nên dùng giáo trình tập trung kỹ năng nghe nói nhiều hơn .,,Tiêu cực 😠,,
"dạy có tâm huyết với sinh viên , giảng và hướng dẫn làm bài tập tốt .",Tích cực 😄,,,
"thầy tận tâm , vui tính .",Tích cực 😄,,,
thầy cần xem rõ cách dạy trên lớp .,Tiêu cực 😠,,,
thầy đưa ra những tinh huống thực tế rất hay .,Tích cực 😄,,,
"thiết bị phòng lab cũ , chưa đáp ứng được yêu cầu thực hành .",,,Tiêu cực 😠,
"phòng thực hành kém chật lượng , quá nhỏ , nhiều bạn thực hành phải làm bài tập bên ngoài hành lang rồi mới vào trong chấm được .",,,Tiêu cực 😠,
"thầy rất vui , cực kỳ nhiệt tình .",Tích cực 😄,,,
thầy thường hay cho nghỉ .,Tiêu cực 😠,,,
kiến thức môn học nhàm chán .,,Tiêu cực 😠,,
thầy nghiêm khắc và nhiệt tình .,Tích cực 😄,,,
chữ viết khá nhỏ .,Tiêu cực 😠,,,
đôi lúc nói nhanh nghe không kịp .,Tiêu cực 😠,,,
"giảng viên vui tính , có tâm huyết .",Tích cực 😄,,,
điểm danh quá nhiều .,,,,
nâng cao thiết bị giảng dạy .,,,Tiêu cực 😠,
buổi thực hành giáo viên không đi buổi nào .,Tiêu cực 😠,Tiêu cực 😠,,
nhiều hoạt động giao lưu với học sinh .,Tích cực 😄,,,
giảng viên giảng dạy khá nhanh khiền nhiều sinh viên không theo kịp đặc biệt là phần lý thuyết .,Tiêu cực 😠,,,
em không học giáo viên này ạ !,,,,
"tóm lại , đồ án cuối kỳ không nên đánh giá phần nội dung vì đề bài đã không thiết thực thì không thể nào bắt sinh viên làm đạt yêu cầu được .",,Tiêu cực 😠,,
"thời gian thực hành quá ít , phân bổ không phù hợp .",,Tiêu cực 😠,,
"giáo viên tận tình , giảng bài dễ hiểu dễ tiếp thu .",Tích cực 😄,,,
chỉ dẫn làm bài chưa hiệu quả cho sinh viên .,Tiêu cực 😠,,,
"thông báo học quá trễ , qua kỳ thi giữa kỳ 2 - 3 tuần mới có thông báo học buổi học thực hành đầu tiên .",,Tiêu cực 😠,,
"không ý kiến , môn học rất tốt .",,,,
đề nghị nhà trường nâng cấp .,,,Tiêu cực 😠,
hơi đi sâu vấn đề khác ( lạc đề ) .,Tiêu cực 😠,,,
có các bài tập hay bài kiểm tra đánh giá kiến thức theo từng tuần .,,Tích cực 😄,,
"thầy cho nghỉ thường xuyên , nhưng không báo trên hệ thống của trường mà toàn thông báo trên facebook của thầy .",Tiêu cực 😠,,,
"phòng học quá nóng , xin nhà trường trang bị thêm quạt cho các phòng học dãy c .",,,Tiêu cực 😠,
thầy đến lớp trễ và nghỉ nhưng không báo trước .,Tiêu cực 😠,,,
sửa và giảng bài khá nhanh .,Tiêu cực 😠,,,
giáo viên thực hành và lý thuyết nên liên hệ với nhau để hỗ trợ sinh viên tốt hơn trong việc học .,Tiêu cực 😠,,,
thầy nói tiếng anh sinh viên cũng khó hình dung được câu nói ( phát âm ) .,Tiêu cực 😠,,,
"giảng quá nhanh và quá phức tạp trong một buổi học , không giải bài tập hoặc ví dụ mẫu bao giờ , nên sinh viên khó lòng làm được các hình thức bài tập mới và khó .",Tiêu cực 😠,,,
"thầy rất nhiệt tình hay , thầy đưa nhiều ví dụ mẫu cho sinh viên dễ hiểu và luôn có đề mẫu làm thử khi gần thi giữa kỳ và cuối kỳ .",Tích cực 😄,,,
"lôi cuốn , thú vị , biết thêm nhiều kiến thức lạ , có tính áp dụng cao .",Tích cực 😄,,,
đề nghị giảng viên nên sử dụng hệ thống moodle nhiều hơn !,Tiêu cực 😠,,,
thầy dạy chưa đúng giờ .,Tiêu cực 😠,,,
nên lắng nghe ý kiến của sinh viên nhiều hơn .,Tiêu cực 😠,,,
tận tâm và nhiệt huyết .,Tích cực 😄,,,
có chuyên môn cao .,,,,
"giảng dạy nhiệt tình , đảm bảo kiến thức chuyên sâu .",Tích cực 😄,,,
"thầy dạy không nhiệt tình , cứ chiếu slide rồi cho sinh viên chép .",Tiêu cực 😠,,,
cô giảng quá nhanh .,Tiêu cực 😠,,,
sự nhiệt tình của giáo viên .,Tích cực 😄,,,
thầy hiểu học sinh cần đạt được kiến thức gì trong học kỳ đầu và tạo điều kiện để học sinh học tập .,Tiêu cực 😠,,,
"nhiệt tình , vui tính !",Tích cực 😄,,,
giáo viên giúp đỡ học sinh rất nhiều .,Tích cực 😄,,,
"nhiệt tình , tâm huyết với học sinh .",Tích cực 😄,,,
lịch học phân trùng thời gian sinh viên không thể tham gia học thực hành .,,Tiêu cực 😠,,
đó là hệ thống máy thực hành còn kém .,,,Tiêu cực 😠,
giáo trình tiếng anh .,,,,
"thầy dạy rất hay , nhiệt tình , dễ hiểu .",Tích cực 😄,,,
"thầy rất tận tình , cho bài tập rất nhiều , mở rộng nhiều kiến thức cho sinh viên .",Tích cực 😄,,,
thầy có liên hệ với thực tế khiến bài học dễ tiếp thu hơn .,Tích cực 😄,,,
"chương trình dạy hơi khó hiểu , khó tiếp thu và hơi ít bài tập để ôn luyện cho học sinh .",Tiêu cực 😠,Tiêu cực 😠,,
em cảm thấy hứng thú trong tiết học của thầy .,Tích cực 😄,,,
"không khí thoải mái , không bị gò bó về vấn đề bài tập , không bị áp lực .",Tiêu cực 😠,,,
đôi khi dạy hơi nhanh khiến học sinh hơi hoang mang .,Tiêu cực 😠,,,
"hơi lan man , không đi vào trọng tâm .",Tiêu cực 😠,,,
cần có biện pháp để có thể đánh giá phù hợp với thực lực của sinh viên hơn .,,Tiêu cực 😠,,
"giảng viên truyền đạt tốt , liên hệ nhiều kiến thức bên ngoài .",Tích cực 😄,,,
"cô rất nhiệt tình , vui tính .",Tích cực 😄,,,
"thầy giảng dạy nhiệt tình , và dễ hiểu .",Tích cực 😄,,,
lượng kiến thức cho phần kiểm tra đánh giá kết quả học tập tràn lan .,,Tiêu cực 😠,,
giảng viên phân tích rõ một vài vấn đề giúp hiểu rõ hơn về các ngành fraction khoa .,Tích cực 😄,,,
"giảng viên dạy đầy đủ , đúng giờ .",Tích cực 😄,,,
giảng viên luyện nói rất hiệu quả .,Tích cực 😄,,,
cần chuẩn bị thêm trang thiết bị để hỗ trợ kịp thời trong học tập và thực hành .,,,Tiêu cực 😠,
